#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A962CC
#Date Time: 2020-01-30 19:07:46.865

Time (s),Voltage (V)
-0.0486125,87.22321459444809
-0.0486,86.33174205775478
-0.0485875,85.63129935035288
-0.048575,84.80350342342336
-0.0485625,84.03938410625767
-0.04855,83.21158817932816
-0.0485375,82.32011564263483
-0.048525,81.49231971570532
-0.0485125,80.60084717901201
-0.0485,79.7730512520825
-0.0484875,79.07260854468059
-0.048475,78.24481261775108
-0.0484625,77.48069330058537
-0.04845,76.71657398341966
-0.0484375,75.95245466625397
-0.048425,75.18833534908826
-0.0484125,74.42421603192255
-0.0484,73.66009671475686
-0.0483875,72.95965400735496
-0.048375,72.13185808042545
-0.0483625,71.36773876325974
-0.04835,70.60361944609404
-0.0483375,69.90317673869214
-0.048325,69.13905742152645
-0.0483125,68.43861471412455
-0.0483,67.73817200672266
-0.0482875,67.03772929932077
-0.048275,66.20993337239125
-0.0482625,65.44581405522555
-0.04825,64.68169473805985
-0.0482375,63.91757542089414
-0.048225,63.08977949396463
-0.0482125,62.38933678656274
-0.0482,61.56154085963322
-0.0481875,60.86109815223133
-0.048175,59.96962561553801
-0.0481625,59.26918290813611
-0.04815,58.5050635909704
-0.0481375,57.74094427380471
-0.048125,56.976824956639
-0.0481125,56.21270563947329
-0.0481,55.38490971254379
-0.0480875,54.62079039537808
-0.048075,53.79299446844857
-0.0480625,53.02887515128286
-0.04805,52.20107922435335
-0.0480375,51.43695990718765
-0.048025,50.60916398025814
-0.0480125,49.84504466309243
-0.048,49.01724873616292
-0.0479875,48.25312941899722
-0.047975,47.48901010183151
-0.0479625,46.78856739442961
-0.04795,46.02444807726391
-0.0479375,45.32400536986201
-0.047925,44.55988605269632
-0.0479125,43.85944334529442
-0.0479,43.09532402812872
-0.0478875,42.39488132072682
-0.047875,41.75811522308874
-0.0478625,40.99399590592303
-0.04785,40.22987658875732
-0.0478375,39.46575727159163
-0.047825,38.70163795442592
-0.0478125,38.00119524702403
-0.0478,37.23707592985832
-0.0477875,36.60030983222023
-0.047775,35.83619051505453
-0.0477625,35.19942441741645
-0.04775,34.56265831977836
-0.0477375,33.79853900261265
-0.047725,33.09809629521076
-0.0477125,32.39765358780886
-0.0477,31.56985766087935
-0.0476875,30.86941495347746
-0.047675,30.23264885583937
-0.0476625,29.46852953867366
-0.04765,28.83176344103558
-0.0476375,28.19499734339749
-0.047625,27.4945546359956
-0.0476125,26.85778853835751
-0.0476,26.22102244071943
-0.0475875,25.58425634308134
-0.047575,24.88381363567945
-0.0475625,24.18337092827755
-0.04755,23.48292822087565
-0.0475375,22.84616212323757
-0.047525,22.08204280607186
-0.0475125,21.38160009866997
-0.0475,20.74483400103188
-0.0474875,20.1080679033938
-0.047475,19.40762519599189
-0.0474625,18.70718248859
-0.04745,18.00673978118811
-0.0474375,17.36997368355002
-0.047425,16.66953097614813
-0.0474125,15.96908826874623
-0.0474,15.26864556134434
-0.0473875,14.63187946370625
-0.047375,13.86776014654055
-0.0473625,13.16731743913865
-0.04735,12.33952151220914
-0.0473375,11.63907880480724
-0.047325,10.87495948764154
-0.0473125,10.11084017047584
-0.0473,9.283044243546325
-0.0472875,8.518924926380622
-0.047275,7.818482218978726
-0.0472625,7.118039511576831
-0.04725,6.417596804174935
-0.0472375,5.653477487009232
-0.047225,4.889358169843528
-0.0472125,4.061562242914016
-0.0472,3.233766315984504
-0.0471875,2.342293779291182
-0.047175,1.51449785236167
-0.0471625,0.6867019254321578
-0.04715,-0.01374078196973718
-0.0471375,-0.8415367088992495
-0.047125,-1.605656026064953
-0.0471125,-2.433451952994465
-0.0471,-3.261247879923978
-0.0470875,-4.08904380685349
-0.047075,-4.916839733783002
-0.0470625,-5.744635660712516
-0.04705,-6.572431587642027
-0.0470375,-7.40022751457154
-0.047025,-8.228023441501053
-0.0470125,-9.119495978194372
-0.047,-9.947291905123887
-0.0469875,-10.83876444181721
-0.046975,-11.66656036874672
-0.0469625,-12.55803290544004
-0.04695,-13.51318205189717
-0.0469375,-14.4683311983543
-0.046925,-15.35980373504762
-0.0469125,-16.18759966197713
-0.0469,-17.01539558890665
-0.0468875,-17.77951490607234
-0.046875,-18.54363422323805
-0.0468625,-19.30775354040376
-0.04685,-20.19922607709708
-0.0468375,-21.1543752235542
-0.046825,-22.04584776024753
-0.0468125,-22.93732029694085
-0.0468,-23.70143961410655
-0.0467875,-24.46555893127225
-0.046775,-25.22967824843796
-0.0467625,-26.05747417536747
-0.04675,-27.0126233218246
-0.0467375,-27.84041924875411
-0.046725,-28.66821517568362
-0.0467125,-29.43233449284933
-0.0467,-30.00542398072361
-0.0466875,-30.57851346859788
-0.046675,-30.96057312718074
-0.0466625,-31.4063093955274
-0.04665,-31.85204566387406
-0.0466375,-32.29778193222072
-0.046625,-32.74351820056738
-0.0466125,-33.25293107867785
-0.0466,-33.69866734702451
-0.0465875,-34.14440361537117
-0.046575,-34.46278666419021
-0.0465625,-34.90852293253687
-0.04655,-35.29058259111973
-0.0465375,-35.79999546923019
-0.046525,-36.24573173757685
-0.0465125,-36.88249783521494
-0.0465,-37.39191071332541
-0.0464875,-37.96500020119969
-0.046475,-38.47441307931016
-0.0464625,-38.98382595742062
-0.04645,-39.5569154452949
-0.0464375,-40.32103476246061
-0.046425,-41.27618390891773
-0.0464125,-42.16765644561106
-0.0464,-42.86809915301295
-0.0463875,-43.56854186041485
-0.046375,-44.20530795805293
-0.0463625,-44.90575066545482
-0.04635,-45.86089981191196
-0.0463375,-47.00707878766051
-0.046325,-48.02590454388145
-0.0463125,-48.98105369033858
-0.0463,-49.99987944655952
-0.0462875,-50.95502859301665
-0.046275,-51.97385434923759
-0.0462625,-52.92900349569472
-0.04625,-53.82047603238804
-0.0462375,-54.77562517884517
-0.046225,-55.7307743253023
-0.0462125,-56.68592347175942
-0.0462,-57.70474922798036
-0.0461875,-58.6598983744375
-0.046175,-59.67872413065844
-0.0461625,-60.69754988687937
-0.04615,-61.58902242357269
-0.0461375,-62.48049496026601
-0.046125,-63.43564410672315
-0.0461125,-64.39079325318028
-0.0461,-65.34594239963741
-0.0460875,-66.23741493633072
-0.046075,-67.00153425349643
-0.0460625,-67.82933018042594
-0.04605,-68.65712610735545
-0.0460375,-69.48492203428498
-0.046025,-70.31271796121449
-0.0460125,-71.07683727838018
-0.046,-71.84095659554589
-0.0459875,-72.7324291322392
-0.045975,-73.56022505916873
-0.0459625,-74.32434437633444
-0.04595,-74.89743386420871
-0.0459375,-75.47052335208298
-0.045925,-75.97993623019345
-0.0459125,-76.55302571806773
-0.0459,-77.126115205942
-0.0458875,-77.69920469381628
-0.045875,-78.33597079145437
-0.0458625,-79.03641349885628
-0.04585,-79.60950298673055
-0.0458375,-80.24626908436863
-0.045825,-80.7556819624791
-0.0458125,-81.26509484058957
-0.0458,-81.83818432846385
-0.0457875,-82.28392059681052
-0.045775,-82.72965686515717
-0.0457625,-83.17539313350382
-0.04575,-83.6211294018505
-0.0457375,-84.13054227996096
-0.045725,-84.63995515807142
-0.0457125,-85.1493680361819
-0.0457,-85.72245752405618
-0.0456875,-86.29554701193045
-0.045675,-86.86863649980474
-0.0456625,-87.44172598767901
-0.04565,-87.95113886578947
-0.0456375,-88.46055174389994
-0.045625,-88.90628801224662
-0.0456125,-89.47937750012089
-0.0456,-89.98879037823136
-0.0455875,-90.56187986610563
-0.045575,-91.13496935397991
