v1	V(n002)*I(V1)	I(V1)
1.019999999999999e-002	7.753248e-003	7.601224e-001
1.029999999999999e-002	7.829241e-003	7.601205e-001
1.039999999999999e-002	7.905233e-003	7.601185e-001
1.049999999999999e-002	7.981225e-003	7.601166e-001
1.059999999999999e-002	8.057216e-003	7.601147e-001
1.069999999999999e-002	8.133208e-003	7.601128e-001
1.079999999999999e-002	8.209198e-003	7.601109e-001
1.089999999999999e-002	8.285189e-003	7.601091e-001
1.099999999999999e-002	8.361179e-003	7.601072e-001
1.109999999999999e-002	8.437168e-003	7.601053e-001
1.119999999999999e-002	8.513157e-003	7.601033e-001
1.129999999999999e-002	8.589147e-003	7.601014e-001
1.139999999999999e-002	8.665135e-003	7.600995e-001
1.149999999999999e-002	8.741123e-003	7.600976e-001
1.159999999999999e-002	8.817110e-003	7.600957e-001
1.169999999999999e-002	8.893097e-003	7.600938e-001
1.179999999999998e-002	8.969085e-003	7.600919e-001
1.189999999999998e-002	9.045071e-003	7.600900e-001
1.199999999999998e-002	9.121057e-003	7.600881e-001
1.209999999999998e-002	9.197043e-003	7.600862e-001
1.219999999999998e-002	9.273028e-003	7.600843e-001
1.229999999999998e-002	9.349013e-003	7.600824e-001
1.239999999999998e-002	9.424998e-003	7.600805e-001
1.249999999999998e-002	9.500982e-003	7.600785e-001
1.259999999999998e-002	9.576966e-003	7.600766e-001
1.269999999999998e-002	9.652949e-003	7.600747e-001
1.279999999999998e-002	9.728932e-003	7.600728e-001
1.289999999999998e-002	9.804915e-003	7.600709e-001
1.299999999999998e-002	9.880897e-003	7.600690e-001
1.309999999999998e-002	9.956879e-003	7.600671e-001
1.319999999999998e-002	1.003286e-002	7.600652e-001
1.329999999999998e-002	1.010884e-002	7.600633e-001
1.339999999999997e-002	1.018482e-002	7.600614e-001
1.349999999999997e-002	1.026080e-002	7.600595e-001
1.359999999999997e-002	1.033678e-002	7.600576e-001
1.369999999999997e-002	1.041276e-002	7.600557e-001
1.379999999999997e-002	1.048874e-002	7.600538e-001
1.389999999999997e-002	1.056472e-002	7.600518e-001
1.399999999999997e-002	1.064070e-002	7.600499e-001
1.409999999999997e-002	1.071668e-002	7.600480e-001
1.419999999999997e-002	1.079266e-002	7.600461e-001
1.429999999999997e-002	1.086863e-002	7.600443e-001
1.439999999999997e-002	1.094461e-002	7.600424e-001
1.449999999999997e-002	1.102059e-002	7.600405e-001
1.459999999999997e-002	1.109656e-002	7.600386e-001
1.469999999999997e-002	1.117254e-002	7.600366e-001
1.479999999999997e-002	1.124851e-002	7.600347e-001
1.489999999999997e-002	1.132449e-002	7.600328e-001
1.499999999999997e-002	1.140046e-002	7.600309e-001
1.509999999999996e-002	1.147644e-002	7.600290e-001
1.519999999999996e-002	1.155241e-002	7.600271e-001
1.529999999999996e-002	1.162839e-002	7.600252e-001
1.539999999999996e-002	1.170436e-002	7.600233e-001
1.549999999999996e-002	1.178033e-002	7.600214e-001
1.559999999999996e-002	1.185630e-002	7.600195e-001
1.569999999999996e-002	1.193228e-002	7.600176e-001
1.579999999999996e-002	1.200825e-002	7.600157e-001
1.589999999999996e-002	1.208422e-002	7.600138e-001
1.599999999999996e-002	1.216019e-002	7.600119e-001
1.609999999999996e-002	1.223616e-002	7.600099e-001
1.619999999999996e-002	1.231213e-002	7.600080e-001
1.629999999999996e-002	1.238810e-002	7.600061e-001
1.639999999999996e-002	1.246407e-002	7.600042e-001
1.649999999999996e-002	1.254004e-002	7.600023e-001
1.659999999999996e-002	1.261601e-002	7.600004e-001
1.669999999999995e-002	1.269197e-002	7.599985e-001
1.679999999999995e-002	1.276794e-002	7.599966e-001
1.689999999999995e-002	1.284391e-002	7.599947e-001
1.699999999999995e-002	1.291988e-002	7.599928e-001
1.709999999999995e-002	1.299584e-002	7.599909e-001
1.719999999999995e-002	1.307181e-002	7.599890e-001
1.729999999999995e-002	1.314778e-002	7.599871e-001
1.739999999999995e-002	1.322374e-002	7.599851e-001
1.749999999999995e-002	1.329971e-002	7.599832e-001
1.759999999999995e-002	1.337567e-002	7.599813e-001
1.769999999999995e-002	1.345164e-002	7.599794e-001
1.779999999999995e-002	1.352760e-002	7.599775e-001
1.789999999999995e-002	1.360356e-002	7.599756e-001
1.799999999999995e-002	1.367953e-002	7.599738e-001
1.809999999999995e-002	1.375549e-002	7.599719e-001
1.819999999999995e-002	1.383145e-002	7.599699e-001
1.829999999999995e-002	1.390742e-002	7.599680e-001
1.839999999999994e-002	1.398338e-002	7.599661e-001
1.849999999999994e-002	1.405934e-002	7.599642e-001
1.859999999999994e-002	1.413530e-002	7.599623e-001
1.869999999999994e-002	1.421126e-002	7.599604e-001
1.879999999999994e-002	1.428722e-002	7.599585e-001
1.889999999999994e-002	1.436318e-002	7.599566e-001
1.899999999999994e-002	1.443914e-002	7.599547e-001
1.909999999999994e-002	1.451510e-002	7.599528e-001
1.919999999999994e-002	1.459106e-002	7.599509e-001
1.929999999999994e-002	1.466702e-002	7.599490e-001
1.939999999999994e-002	1.474297e-002	7.599471e-001
1.949999999999994e-002	1.481893e-002	7.599452e-001
1.959999999999994e-002	1.489489e-002	7.599432e-001
1.969999999999994e-002	1.497084e-002	7.599413e-001
1.979999999999994e-002	1.504680e-002	7.599394e-001
1.989999999999994e-002	1.512276e-002	7.599375e-001
1.999999999999993e-002	1.519871e-002	7.599356e-001
2.009999999999993e-002	1.527467e-002	7.599337e-001
2.019999999999993e-002	1.535062e-002	7.599318e-001
2.029999999999993e-002	1.542658e-002	7.599299e-001
2.039999999999993e-002	1.550253e-002	7.599280e-001
2.049999999999993e-002	1.557849e-002	7.599261e-001
2.059999999999993e-002	1.565444e-002	7.599242e-001
2.069999999999993e-002	1.573039e-002	7.599223e-001
